MPPS,LATENCY,FREQ,SLEEP_MODE,CPU,SLEEP_DELTA
6,75,4000,no_sleep,2,1
6,76,4000,no_sleep,2,1
6,77,4000,no_sleep,2,1
6,78,4000,no_sleep,2,1
6,79,4000,no_sleep,2,1
6,80,4000,no_sleep,2,1
6,81,4000,no_sleep,2,1
6,82,4000,no_sleep,2,1
6,83,4000,no_sleep,2,1
6,84,4000,no_sleep,2,1
6,85,4000,no_sleep,2,1
6,86,4000,no_sleep,2,1
6,87,4000,no_sleep,2,1
6,88,4000,no_sleep,2,1
6,89,4000,no_sleep,2,1
6,90,4000,no_sleep,2,1
6,91,4000,no_sleep,2,1
6,92,4000,no_sleep,2,1
6,93,4000,no_sleep,2,1
6,94,4000,no_sleep,2,1
6,95,4000,no_sleep,2,1
6,96,4000,no_sleep,2,1
6,97,4000,no_sleep,2,1
6,98,4000,no_sleep,2,1
6,99,4000,no_sleep,2,1
7,10,4000,no_sleep,3,1
7,11,4000,no_sleep,3,1
7,12,4000,no_sleep,3,1
7,13,3200,no_sleep,8,1
7,14,4000,no_sleep,6,1
7,15,3200,no_sleep,5,1
7,16,4000,no_sleep,4,1
7,17,4000,no_sleep,4,1
7,18,4000,no_sleep,4,1
7,19,4000,no_sleep,4,1
7,20,4000,no_sleep,4,1
7,21,4000,no_sleep,3,1
7,22,800,no_sleep,3,1
7,23,4000,no_sleep,2,1
7,24,4000,no_sleep,2,1
7,25,4000,no_sleep,2,1
7,26,4000,no_sleep,2,1
7,27,4000,no_sleep,2,1
7,28,4000,no_sleep,2,1
7,29,4000,no_sleep,2,1
7,30,4000,no_sleep,2,1
7,31,4000,no_sleep,2,1
7,32,4000,no_sleep,2,1
7,33,4000,no_sleep,2,1
7,34,4000,no_sleep,2,1
7,35,4000,no_sleep,2,1
7,36,4000,no_sleep,2,1
7,37,4000,no_sleep,2,1
7,38,4000,no_sleep,2,1
7,39,4000,no_sleep,2,1
7,40,4000,no_sleep,2,1
7,41,4000,no_sleep,2,1
7,42,4000,no_sleep,2,1
7,43,4000,no_sleep,2,1
7,44,4000,no_sleep,2,1
7,45,4000,no_sleep,2,1
7,46,4000,no_sleep,2,1
7,47,4000,no_sleep,2,1
7,48,4000,no_sleep,2,1
7,49,4000,no_sleep,2,1
7,50,4000,no_sleep,2,1
7,51,4000,no_sleep,2,1
7,52,4000,no_sleep,2,1
7,53,4000,no_sleep,2,1
7,54,4000,no_sleep,2,1
7,55,4000,no_sleep,2,1
7,56,4000,no_sleep,2,1
7,57,4000,no_sleep,2,1
7,58,4000,no_sleep,2,1
7,59,4000,no_sleep,2,1
7,60,4000,no_sleep,2,1
7,61,4000,no_sleep,2,1
7,62,4000,no_sleep,2,1
7,63,4000,no_sleep,2,1
7,64,4000,no_sleep,2,1
7,65,4000,no_sleep,2,1
7,66,4000,no_sleep,2,1
7,67,4000,no_sleep,2,1
7,68,4000,no_sleep,2,1
7,69,4000,no_sleep,2,1
7,70,4000,no_sleep,2,1
7,71,4000,no_sleep,2,1
7,72,4000,no_sleep,2,1
7,73,4000,no_sleep,2,1
7,74,4000,no_sleep,2,1
7,75,4000,no_sleep,2,1
7,76,4000,no_sleep,2,1
7,77,4000,no_sleep,2,1
7,78,4000,no_sleep,2,1
7,79,4000,no_sleep,2,1
7,80,4000,no_sleep,2,1
7,81,4000,no_sleep,2,1
7,82,4000,no_sleep,2,1
7,83,4000,no_sleep,2,1
7,84,4000,no_sleep,2,1
7,85,4000,no_sleep,2,1
7,86,4000,no_sleep,2,1
7,87,4000,no_sleep,2,1
7,88,4000,no_sleep,2,1
7,89,4000,no_sleep,2,1
7,90,4000,no_sleep,2,1
7,91,4000,no_sleep,2,1
7,92,4000,no_sleep,2,1
7,93,4000,no_sleep,2,1
7,94,4000,no_sleep,2,1
7,95,4000,no_sleep,2,1
7,96,4000,no_sleep,2,1
7,97,4000,no_sleep,2,1
7,98,4000,no_sleep,2,1
7,99,4000,no_sleep,2,1
8,10,4000,no_sleep,3,1
8,11,4000,no_sleep,3,1
8,12,4000,no_sleep,3,1
8,13,4000,no_sleep,3,1
8,14,4000,no_sleep,8,1
8,15,4000,no_sleep,6,1
8,16,3200,no_sleep,5,1
8,17,3200,no_sleep,5,1
8,18,4000,no_sleep,4,1
8,19,4000,no_sleep,4,1
8,20,4000,no_sleep,4,1
8,21,4000,no_sleep,4,1
8,22,4000,no_sleep,4,1
8,23,3200,no_sleep,3,1
8,24,3200,no_sleep,3,1
8,25,2400,no_sleep,3,1
8,26,2400,no_sleep,3,1
8,27,2400,no_sleep,3,1
8,28,2400,no_sleep,3,1
8,29,2400,no_sleep,3,1
8,30,2400,no_sleep,3,1
8,31,2400,no_sleep,3,1
8,32,2400,no_sleep,3,1
8,33,2400,no_sleep,3,1
8,34,2400,no_sleep,3,1
8,35,2400,no_sleep,3,1
8,36,2400,no_sleep,3,1
8,37,2400,no_sleep,3,1
8,38,2400,no_sleep,3,1
8,39,2400,no_sleep,3,1
8,40,2400,no_sleep,3,1
8,41,2400,no_sleep,3,1
8,42,2400,no_sleep,3,1
8,43,2400,no_sleep,3,1
8,44,2400,no_sleep,3,1
8,45,2400,no_sleep,3,1
8,46,2400,no_sleep,3,1
8,47,2400,no_sleep,3,1
8,48,2400,no_sleep,3,1
8,49,2400,no_sleep,3,1
8,50,2400,no_sleep,3,1
8,51,2400,no_sleep,3,1
8,52,2400,no_sleep,3,1
8,53,2400,no_sleep,3,1
8,54,2400,no_sleep,3,1
8,55,2400,no_sleep,3,1
8,56,2400,no_sleep,3,1
8,57,2400,no_sleep,3,1
8,58,2400,no_sleep,3,1
8,59,2400,no_sleep,3,1
8,60,2400,no_sleep,3,1
8,61,2400,no_sleep,3,1
8,62,2400,no_sleep,3,1
8,63,2400,no_sleep,3,1
8,64,2400,no_sleep,3,1
8,65,2400,no_sleep,3,1
8,66,2400,no_sleep,3,1
8,67,2400,no_sleep,3,1
8,68,2400,no_sleep,3,1
8,69,2400,no_sleep,3,1
8,70,2400,no_sleep,3,1
8,71,2400,no_sleep,3,1
8,72,2400,no_sleep,3,1
8,73,2400,no_sleep,3,1
8,74,2400,no_sleep,3,1
8,75,2400,no_sleep,3,1
8,76,2400,no_sleep,3,1
8,77,2400,no_sleep,3,1
8,78,2400,no_sleep,3,1
8,79,2400,no_sleep,3,1
8,80,2400,no_sleep,3,1
8,81,2400,no_sleep,3,1
8,82,2400,no_sleep,3,1
8,83,2400,no_sleep,3,1
8,84,2400,no_sleep,3,1
8,85,2400,no_sleep,3,1
8,86,2400,no_sleep,3,1
8,87,2400,no_sleep,3,1
8,88,2400,no_sleep,3,1
8,89,2400,no_sleep,3,1
8,90,2400,no_sleep,3,1
8,91,2400,no_sleep,3,1
8,92,2400,no_sleep,3,1
8,93,2400,no_sleep,3,1
8,94,2400,no_sleep,3,1
8,95,2400,no_sleep,3,1
8,96,2400,no_sleep,3,1
8,97,2400,no_sleep,3,1
8,98,2400,no_sleep,3,1
8,99,2400,no_sleep,3,1
9,10,4000,no_sleep,3,1
9,11,4000,no_sleep,3,1
9,12,4000,no_sleep,3,1
9,13,4000,no_sleep,3,1
9,14,4000,no_sleep,3,1
9,15,3200,no_sleep,8,1
9,16,3200,no_sleep,7,1
9,17,3200,no_sleep,6,1
9,18,3200,no_sleep,5,1
9,19,4000,no_sleep,4,1
9,20,4000,no_sleep,4,1
9,21,4000,no_sleep,4,1
9,22,4000,no_sleep,4,1
9,23,4000,no_sleep,4,1
9,24,4000,no_sleep,4,1
9,25,3200,no_sleep,3,1
9,26,3200,no_sleep,3,1
9,27,3200,no_sleep,3,1
9,28,3200,no_sleep,3,1
9,29,3200,no_sleep,3,1
9,30,1600,no_sleep,3,1
9,31,2400,no_sleep,3,1
9,32,2400,no_sleep,3,1
9,33,2400,no_sleep,3,1
9,34,2400,no_sleep,3,1
9,35,2400,no_sleep,3,1
9,36,2400,no_sleep,3,1
9,37,2400,no_sleep,3,1
9,38,2400,no_sleep,3,1
9,39,2400,no_sleep,3,1
9,40,2400,no_sleep,3,1
9,41,2400,no_sleep,3,1
9,42,2400,no_sleep,3,1
9,43,2400,no_sleep,3,1
9,44,2400,no_sleep,3,1
9,45,2400,no_sleep,3,1
9,46,2400,no_sleep,3,1
9,47,2400,no_sleep,3,1
9,48,2400,no_sleep,3,1
9,49,2400,no_sleep,3,1
9,50,2400,no_sleep,3,1
9,51,2400,no_sleep,3,1
9,52,2400,no_sleep,3,1
9,53,2400,no_sleep,3,1
9,54,2400,no_sleep,3,1
9,55,2400,no_sleep,3,1
9,56,2400,no_sleep,3,1
9,57,2400,no_sleep,3,1
9,58,2400,no_sleep,3,1
9,59,2400,no_sleep,3,1
9,60,2400,no_sleep,3,1
9,61,2400,no_sleep,3,1
9,62,2400,no_sleep,3,1
9,63,2400,no_sleep,3,1
9,64,2400,no_sleep,3,1
9,65,2400,no_sleep,3,1
9,66,2400,no_sleep,3,1
9,67,2400,no_sleep,3,1
9,68,2400,no_sleep,3,1
9,69,2400,no_sleep,3,1
9,70,2400,no_sleep,3,1
9,71,2400,no_sleep,3,1
9,72,2400,no_sleep,3,1
9,73,2400,no_sleep,3,1
9,74,2400,no_sleep,3,1
9,75,2400,no_sleep,3,1
9,76,2400,no_sleep,3,1
9,77,2400,no_sleep,3,1
9,78,2400,no_sleep,3,1
9,79,2400,no_sleep,3,1
9,80,2400,no_sleep,3,1
9,81,2400,no_sleep,3,1
9,82,2400,no_sleep,3,1
9,83,2400,no_sleep,3,1
9,84,2400,no_sleep,3,1
9,85,2400,no_sleep,3,1
9,86,2400,no_sleep,3,1
9,87,2400,no_sleep,3,1
9,88,2400,no_sleep,3,1
9,89,2400,no_sleep,3,1
9,90,2400,no_sleep,3,1
9,91,2400,no_sleep,3,1
9,92,2400,no_sleep,3,1
9,93,2400,no_sleep,3,1
9,94,2400,no_sleep,3,1
9,95,2400,no_sleep,3,1
9,96,2400,no_sleep,3,1
9,97,2400,no_sleep,3,1
9,98,2400,no_sleep,3,1
9,99,2400,no_sleep,3,1
10,10,4000,no_sleep,3,1
10,11,4000,no_sleep,3,1
10,12,4000,no_sleep,3,1
10,13,4000,no_sleep,3,1
10,14,4000,no_sleep,3,1
10,15,4000,no_sleep,3,1
10,16,3200,no_sleep,9,1
10,17,4000,no_sleep,8,1
10,18,4000,no_sleep,7,1
10,19,3200,no_sleep,6,1
10,20,4000,no_sleep,5,1
10,21,4000,no_sleep,4,1
10,22,4000,no_sleep,4,1
10,23,4000,no_sleep,4,1
10,24,4000,no_sleep,4,1
10,25,4000,no_sleep,4,1
10,26,4000,no_sleep,4,1
10,27,4000,no_sleep,4,1
